"No.","Time","Source","Destination","Protocol","Length","Info","Type","Data rate"
"5450","2.216654","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","215","QoS Data, SN=2644, FN=0, Flags=.p..R.F.C","QoS Data","117,117"
"5451","2.216728","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","1349","QoS Data, SN=2645, FN=0, Flags=.p..R.F.C","QoS Data","117,117"
"5452","2.217551","de:2e:48:80:9a:84","Broadcast","802.11","347","Beacon frame, SN=2880, FN=0, Flags=........C, BI=100, SSID=Broadcast","Beacon frame","6"
"5453","2.218334","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5454","2.218452","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5455","2.218526","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5456","2.218601","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","201","QoS Data, SN=2646, FN=0, Flags=.p..R.F.C","QoS Data","87.75,87.75"
"5457","2.218793","Pegatron_44:31:70 (78:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
"5458","2.218863","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","215","QoS Data, SN=2644, FN=0, Flags=.p..R.F.C","QoS Data","87.75,87.75"
"5459","2.218978","ArrisGro_0f:c2:b7","Apple_94:a9:3d","802.11","1349","QoS Data, SN=2645, FN=0, Flags=.p..R.F.C","QoS Data","87.75,87.75"
"5460","2.219284","Pegatron_44:31:70 (79:f2:9e:44:31:70) (TA)","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (RA)","802.11","45","Request-to-send, Flags=........C","Request-to-send","6"
"5461","2.219407","","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","39","Clear-to-send, Flags=........C","Clear-to-send","6"
"5462","2.219521","Intel_80:00:00","6a:e3:16:29:61:65","802.11","1386","QoS Data, SN=3319, FN=0, Flags=.p..R.F..","QoS Data","433.333,433.333"
"5463","2.219593","Intel_80:73:9e","6e:c0:51:b1:42:d4","802.11","1386","QoS Data, SN=1942, FN=0, Flags=.p..R.F..","QoS Data","433.333,433.333"
"5464","2.219719","2c:5e:82:24:b2:35","IntelCor_b1:42:d4","802.11","1386","QoS Data, SN=2166, FN=2, Flags=.p..R.F..","QoS Data","433.333,433.333"
"5465","2.219831","c3:68:90:ce:ef:62","7d:34:ea:2d:c8:59","802.11","1386","QoS Data, SN=375, FN=14, Flags=op..R.F..","QoS Data","433.333,433.333"
"5466","2.219905","47:a0:47:71:d7:07","97:95:90:0e:64:71","802.11","1390","Acknowledgement (No data), SN=1585, FN=8, Flags=.p..RM.T.","Acknowledgement (No data)","433.333,433.333"
"5467","2.220097","IntelCor_b1:42:d4 (e0:94:67:b1:42:d4) (TA)","Pegatron_44:31:70 (78:f2:9e:44:31:70) (RA)","802.11","57","802.11 Block Ack, Flags=........C","802.11 Block Ack","24"
